NUM;FECHA_CORTE;PERIODO;EMPRESA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_DISTRITO;TECNOLOGÍA;SEGMENTO;RANGO_VELOC_BAJADA;VELOC_INFERIOR_KBPS;VELOC_SUPERIOR_EXCLUYENTE_KBPS;CANT_CONEXIONES
1;20240617;202306;AGUSTINA SERVICIOS GENERALES S.A.C.;LA LIBERTAD;CHEPEN;CHEPEN;130401;Fibra Óptica;Residencial;50 Mbps <= BW < 100 Mbps;51200;102400;115
2;20240617;202306;AGUSTINA SERVICIOS GENERALES S.A.C.;LA LIBERTAD;CHEPEN;CHEPEN;130401;Fibra Óptica;Residencial;100 Mbps <= BW < 200 Mbps;102400;204800;33
3;20240617;202306;AGUSTINA SERVICIOS GENERALES S.A.C.;LA LIBERTAD;CHEPEN;CHEPEN;130401;Fibra Óptica;Residencial;BW >= 200 Mbps;204800;N.A.;10
4;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BAGUA;BAGUA;10201;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;2
5;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BAGUA;BAGUA;10201;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;38
6;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BAGUA;IMAZA;10205;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;9
7;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BAGUA;LA PECA;10206;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
8;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BONGARA;JAZAN;10307;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
9;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BONGARA;VALERA;10311;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
10;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;BONGARA;YAMBRASBAMBA;10312;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;9
